id,modified_comment,Cause Span,GPT-4,ChatGPT,Flan-Alpaca-XL,,best_matches,worst_matches,Emotion 2,ChatGPT,GPT-4,flan-alpaca
722392706,Why did you mark this conversation as resolved? I'm confused.,Why did you mark this conversation as resolved? I'm confused.,I'm confused.,"span: ""I'm confused.""","""Why did you mark this conversation as resolved?""",354,,,Confusion,Confusion,Confusion,Confusion
722474737,"I definitely agree that the name is confusing, but couldnt think of a great way to create a new variable which remains backward compatible. Let me give it another go. I like the suggestions you gave above",like the suggestions you gave above,I like the suggestions you gave above,I definitely agree,"""I definitely agree that the name is confusing, but couldnt think of a great way to create a new variable which remains backward compatible.""",102,,,Affection,Agreement,Approval,Curiosity.
723625280,"We must not forget to add this at some point, although the text works without it.",We must not forget to add this at some point,although the text works without it.,0,"""We must not forget to add this at some point, although the text works without it.""",352,,,Nervousness,Indifference,Curiosity,Neutral
724075575,"There's really no need to get so defensive, this wasn't meant as an attack or anything like that. I saw a discrepancy and voiced concern. Just ignoring the question and just closing it wasn't the nice way.
There are many different ways to solve this issue. Which way is a good one highly depends on the existing code base and the stance of the team regarding this, and my knowledge about the code base is very little.
- Make the `name` property of the existing interface optional.
- Add a new interface with the `name` property optional for this case.
- Use a null-object if an empty name is valid (might cause issues at different locations when a non-empty string is expected).
- Do the workaround just as you did.","There's really no need to get so defensive, this wasn't meant as an attack or anything like that. I saw a discrepancy",Just ignoring the question and just closing it wasn't the nice way.,"There's really no need to get so defensive, this wasn't meant as an attack or anything like that.","""There's really no need to get so defensive, this wasn't meant as an attack or anything like that. I saw a discrepancy and voiced concern. Just ignoring the question and just closing it wasn't the nice way.""",195,,,Nervousness,Annoyance,Disapproval,Irritation
724089127,"[USER] Ok. I've closed PR. If you have any interest in fixing this issue, I would be very grateful for that. 👍🏻",I would be very grateful for that,I would be very grateful for that.,I would be very grateful for that,"""[USER] Ok. I've closed PR. If you have any interest in fixing this issue, I would be very grateful for that.""",29,,,Affection,Gratitude,Grateful,Appreciation
724371984,Thanks for the detailed comment!,Thanks for the detailed comment!,Thanks for the detailed comment!,Thanks for the detailed comment!,"""Detailed comment!""",292,,,Affection,Gratitude,Gratitude,Appreciation
724881472,"I did do this at one point but I was concerned that it is a bit hard to work out the cases for the `if` to succeed, since it relies on `undefined !== 0` in the case where `associatedMessage` is not defined. So I went with the more explicit notation since I found it easier to grok the two cases.
? Do you not have this problem Perhaps it is just me?",Do you not have this problem,? Do you not have this problem Perhaps it is just me?,"I did do this at one point but I was concerned that it is a bit hard to work out the cases for the `if` to succeed, since it relies on `undefined !== 0` in the case where `associatedMessage` is not defined.","""I did do this at one point but""",103,,,Confusion,Annoyance,Curiosity,Curiosity
729462534,"[BLOCK QUOTE].
Is there an API that Flutter supports that allows to do that? I don't think the current embedding/engine APIs allows to pass custom parameters.
[BLOCK QUOTE].
That doesn't work unfortunately. The Dart plugin registrant isn't called. It might just be that the engine cannot find the dart plugin registrant because it isn't in the same file that defined the main entrypoint.",That doesn't work unfortunately,Is there an API that Flutter supports that allows to do that?,I don't think the current embedding/engine APIs allows to pass custom parameters.,"""[BLOCK QUOTE] Is there an API that Flutter supports that allows to do that?""",17,,,Disappointment,Annoyance,Curiosity,Frustration
730143882,"Your changes do seem to be doing the trick and the tests pass with them, thank you very much, I committed them
(but I will need to come back to this tomorrow with a clearer head and reason about this stuff to understand the logic better :sweat_smile:)","Your changes do seem to be doing the trick and the tests pass with them, thank you very much",Your changes do seem to be doing the trick and the tests pass with them thank you very much,"the span ""but I will need to come back to this tomorrow with a clearer head and reason about this stuff to understand the logic better :sweat_smile:""","""Your changes do seem to be doing the trick and the tests pass with them""",396,,,Affection,Annoyance,Approval,Joy.
730264646,Either way works for me. Up to you :smiley:,up to you :smiley:,:smiley:,the entire utterance.,"""Either way works for me. Up to you :smiley:""",67,,,Affection,Contentment,Happiness,Joy.
732155277,Thanks for the picture. This is great context that should be added as a comment,Thanks for the picture. This is great context,This is great context,Thanks for the picture.,"""Thanks for the picture. This is great context that should be added as a comment.""",297,,,Affection,Appreciation,Approval,Approval
732293262,"Sorry, I'm not quite sure I'm following: you want to make sure that if `errorsAreFatal` is set that `hadWarningOutput` is false in the case where we're going to exit cleanly? So, in other words, making sure that there were no warnings if there were no fatal errors?
I was intending for it to be the case that if `errorsAreFatal` is set, but not `warningsAreFatal` that only errors cause failure exit, and if `warningsAreFatal` is set, that _either_ warnings or errors would cause a failure exit (basically that fatal warnings implies fatal errors too). Does that sound right to you?","Sorry, I'm not quite sure I'm following","Sorry, I'm not quite sure I'm following","Sorry, I'm not quite sure I'm following: you want to make sure that if `errorsAreFatal` is set that `hadWarningOutput` is false in the case where we're going to exit cleanly?","""Not quite sure I'm following""",281,,,Confusion,Confusion,Curiosity,Confused
733987019,thanks for explaining your thought process! 😊,thanks for explaining your thought process!,thanks for explaining your thought process!,😊.,"""thanks for explaining your thought process!""",290,,,Affection,Happiness,Joy,Approval
736878776,"I'm not sure, this test is similar to the previous one for ltr text.","I'm not sure, this test is similar","I'm not sure, this test is similar to the previous one for ltr text.","I'm not sure, this test is similar to the previous one for ltr text.","I'm not sure, this test is similar to the previous one for ltr text.",163,,,Confusion,Uncertainty,Curiosity,Curiosity
738243449,"Sorry, I am still not following 😅",I am still not following,"Sorry, I am still not following 😅",😅.,"""still not following""",278,,,Confusion,Amusement,Confusion,Disapproval
738369609,"Your approach looks fine to me :smiley: The only thing is that the last part, `(?<!\d)}` would incorrectly skip (i.e. not escape) something like `x1}`. So you could make it more strict with `(?<!{\d+)}`. You can also simplify the middle part: [TRIPLE QUOTE]. Other than that, looks great 👏",your approach looks fine to me :smiley:,"Other than that, looks great 👏","Other than that, looks great 👏.","""Your approach looks fine to me""",395,,,Affection,Approval,Approval,Joy
738814346,"Absolutely not. This situation is much different from the one above because that one doesn't make sense and has alternatives. This here has an alternative, which is passing an explicit 0, but when running .at() it would make sense for it to default to the first element in the array. This doesn't seem like another one of JS's quirks, but in fact very much intentional and should stay like this, unless a maintainer says otherwise",Absolutely not. This situation is much different from the one above,Absolutely not.,Absolutely not.,"""This situation is much different""",341,,,Disapproval,Defiance,Disapproval,Curiosity
742167525,"You saved me a few minutes of head-scratching staring at that URL, I appreciate it!","You saved me a few minutes of head-scratching staring at that URL, I appreciate it!",I appreciate it!,I appreciate it,You saved me a few minutes of head-scratching staring at that URL.,388,,,Affection,Gratitude,Gratitude,Appreciation
787106547,"Yes, `output.devtoolNamespace: 'no_slashes_here'` fixes the issue, by just using something other than package name, thanks. Sorry for bothering, i should probably read the entire webpack docs from start to finish one day. Stackoverflow couldn't help for days.
I am still a bit confused, why a default of package name including slashes was chosen, but i guess I can wonder about that after some more research on the topic.
Thanks again :)","I am still a bit confused, why a default of package name including slashes was chosen",Thanks again :),"Yes, `output.devtoolNamespace: 'no_slashes_here'` fixes the issue, by just using something other than package name, thanks. Sorry for bothering, i should probably read the entire webpack docs from start to finish one day. Stackoverflow couldn't help for days. Thanks again :)","""I am still a bit confused, why a default of package name including slashes was chosen""",289,,,Confusion,Gratitude,Gratitude,Curiosity
796915785,"Makes sense. I agree, we should all be pulling the ecosystem toward clear standards and not a mishmash like auto mode. Thanks.","Makes sense. I agree, we should all be pulling the ecosystem","I agree, we should all be pulling the ecosystem toward clear standards","Makes sense. I agree, we should all be pulling the ecosystem toward clear standards and not a mishmash like auto mode. Thanks.","""Makes sense. I agree, we should all be pulling the ecosystem toward clear standards and not a mishmash like auto mode.""",202,,,Approval,Contentment,Agreement,Approval
799785939,"I didn't really run this part of my project on Friday, but I ran it as suggested all day today with no segfaults.
I'm a little confused as to what changed. I'm still running the same version of node as I was when using webpack 4 and didn't have this issue.
Is webpack requesting a different memory limit of node somehow? Or am I misunderstanding what's going on?",I'm a little confused as to what changed.,I'm a little confused as to what changed.,I'm a little confused as to what changed. I'm still running the same version of node as I was when using webpack 4 and didn't have this issue.,"""I didn't really run this part of my project on Friday, but I ran it as suggested all day today with no segfaults. I'm a little confused as to what changed.""",152,,,Confusion,Confusion,Confusion,Curiosity
800194469,"[BLOCK QUOTE].
No
Problem still exists? Do you try the latest version of v5?",Problem still exists?,Problem still exists? Do you try the latest version of v5?,Problem still exists?,No Problem still exists? Do you try the latest version of v5?,18,,,Confusion,Annoyance,Curiosity,Curiosity
803216554,"I have signed CLA but job is marked as Pending, not sure how to resolve.",not sure how to resolve.,not sure how to resolve,not sure how to resolve.,"""I have signed CLA but job is marked as Pending, not sure how to resolve.""",127,,,Confusion,Confusion,Confusion,Frustration
804762054,"[BLOCK QUOTE].
But that other issue seems to describe a different broken behaviour, not related to HMR.",that other issue seems to describe a different broken behaviour,not related to HMR.,not related to HMR.,"""[BLOCK QUOTE]. But that other issue seems to describe a different broken behaviour, not related to HMR.""",8,,,Disapproval,Indifference,Curiosity,Frustration
829414970,"Seems to be closed in Terser, but not sure if released
[URL]","not sure if released
","Seems to be closed in Terser, but not sure if released",not sure if released,"""Seems to be closed in Terser, but not sure if released [URL]""",271,,,Confusion,Apprehension,Curiosity,Confused
851132132,I don't quite understand why CI failed. Could you please give me some help,don't quite understand why CI failed. Could you please give me some help,I don't quite understand why CI failed.,I don't quite understand why CI failed.,"""I don't quite understand why CI failed.""",108,,,Disappointment,Confusion,Confusion,Curiosity
853769619,"Thanks for the fast reply! I categorized it as a bug, sorry for the inconvenience...
I assume you mean to use require.resolve within the alias to have a direct path to the module. This however, still leads to the same result.
[TRIPLE QUOTE].",sorry for the inconvenience,Thanks for the fast reply!,Thanks for the fast reply!,"""Thanks for the fast reply!""",294,,,Neglect,Gratitude,Gratitude,Joy.
856050690,"Sorry we can't fix it in webpack or webpack-dev-server, anyway feel free to feedback",sorry we can't fix it,Sorry we can't fix it,"Sorry we can't fix it in webpack or webpack-dev-server,.","""We can't fix it in webpack or webpack-dev-server""",276,,,Disappointment,Disappointment,Disappointment,Disapproval
872327838,I'm afraid that this got no community support.,I'm afraid that this got no community support.,I'm afraid that this got no community support.,I'm afraid,"""I'm afraid that this got no community support.""",154,,,Horror,Fear,Fear,Disappointment
877601081,"I feel that this decision is wrong in many ways.
* Angular and RxJS go hand in hand from the beginning. In fact I came to know RxJS thanks to Angular. I don't think this was a bad decision. It was a nice standard way for Angular to be reactive. For me the places where it was not used, like `@Input` or lifecycle hooks, feel out of tone from the rest of Angular.
* How do you plan to remove or replace Angular's dependency on RxJS without introducing a massive backward incompatibility breakup like in the AngularJS -> Angular 2+ era? Don't repeat history but learn from it!
* If you manage to not create backward incompatibility issues, then why do you think that introducing input as observable will?
* It _already_ is possible to merely see the usage of observable/observer as a Subscribable pattern. RxJS was meant to be functionality around this pattern. But because Observable was not an ECMA standard like Promise, Observable was included in RxJS. If I remember correctly, Ben Lesh regrets his decision not to make Observable a separate lib apart from RxJS, because now the two are seen as one while in fact they are not.
I hope this decision is reverted soon and Angular will return to it's declarative reactive path instead of holding on to partly forcing users to use error prone imperative reactiveness.",that this decision is wrong in many ways.,I feel that this decision is wrong in many ways.,I hope this decision is reverted soon and Angular will return to it's declarative reactive path instead of holding on to partly forcing users to use error prone imperative reactiveness.,"""I feel that this decision is wrong in many ways.""",123,,,Disapproval,Frustration,Disapproval,Frustration
880021733,Jetbrains has their own analysis of Angular templates so it's unclear whether this is an Angular bug or not.,it's unclear whether this is an Angular bug or not.,it's unclear whether this is an Angular bug or not.,it's unclear whether this is an Angular bug or not.,Jetbrains has their own analysis of Angular templates so it's unclear whether this is an Angular bug or not.,193,,,Confusion,Confusion,Curiosity,Confused
880074565,"Yep, you are right, duplicate, let's close in favor [URL] thanks for hing","duplicate, let's close in favor [URL] ",let's close in favor,thanks for hing.,"""Yep, you are right, duplicate, let's close in favor [URL] thanks for hing.""",381,,,Approval,Approval,Approval,Approval
881669113,"Heya, sorry it took me a while to respond. I think I understand what you mean in your last comment about parameter normalization and I agree that it's a different issue, so no need to worry about that in this PR. I think I agree with your analysis that numeric parameters should not cause normalization failures due to a hidden conversion to strings.",.I think I agree with your analysis,no need to worry about that in this PR,"I agree that it's a different issue,.","""I think I understand what you mean in your last comment about parameter normalization and I agree that it's a different issue, so no need to worry about that in this PR.""",437,,,Approval,Agreement,Relief,Joy.
881785239,"I see the problem here, but unfortunately Angular does allow recursive components, so I don't think we can automatically make this an error.",don't think we can automatically make this an error,I see the problem here,,"""I see the problem here, but unfortunately Angular does allow recursive components, so I don't think we can automatically make this an error.""",438,,,Disapproval,0,Realization,Frustration
881791172,"Agreed - if this is needed in a particular application, custom structural directives are a better solution. Attempting to solve this problem generally would be a major undertaking.",Agreed - if this is needed in a particular application,"Agreed - if this is needed in a particular application, custom structural directives are a better solution.","Agreed - if this is needed in a particular application,.","""Agreed - if this is needed in a particular application, custom structural directives are a better solution. Attempting to solve this problem generally would be a major undertaking.""",37,,,Approval,Approval,Approval,Irritation
882136287,"A lot of people are also using similar argument against Angular in general, but I have an inkling that we actually disagree on what that usually foreshadows.",disagree on what that usually foreshadows.,I have an inkling that we actually disagree on what that usually foreshadows.,,"""A lot of people are also using similar argument against Angular in general""",34,,,Disapproval,0,Curiosity,Curiosity
883212345,"[BLOCK QUOTE].
Sorry, I am not sure what you mean by this 😕
Can you please elaborate?","what you mean by this 😕
Can you please elaborate?","Sorry, I am not sure what you mean by this 😕","span: ""I am not sure what you mean by this 😕 Can you please elaborate?""","""Not sure""",20,,,Confusion,Confusion,Confusion,Curiosity
884985610,"[USER] I don't understand you, what is mean `doesn't break windows`","I don't understand you, what is mean `doesn't break windows`",I don't understand you,the entire utterance.,"""[USER] I don't understand you, what is mean doesn't break windows""",28,,,Confusion,Confusion,Confusion,Curiosity
886568180,"Thanks very much for your feedback [USER] Your point is totally fair. My intention was to highlight that camelCase or dash-case class names are perfectly fine to use in Angular templates. Most people, especially beginners, do not know that and end up using the `ngClass` directive. Do you think that rewording the alert towards that direction would make sense?",Thanks very much for your feedback [USER] Your point is totally fair.,Thanks very much for your feedback,Thanks very much for your feedback [USER] Your point is totally fair.,"""Your point is totally fair""",397,,,Affection,Approval,Gratitude,Approval
887448093,"[BLOCK QUOTE].
Are you sure about this? I am a little confused based on docs which actually point to `watchOptions` inside `devServer` conf. Also, when I put `{ followSymlinks: true }` in webpack conf, nothing happens but adding it to devServer actually makes my app to recompile (though it does not hot reloads).",I am a little confused based on docs which actually point to `watchOptions` inside `devServer` conf.,Are you sure about this? I am a little confused based on docs,I am a little confused based on docs which actually point to `watchOptions` inside `devServer` conf.,"I am a little confused based on docs which actually point to watchOptions inside devServer conf. Also, when I put  followSymlinks: true  in webpack conf, nothing happens but adding it to devServer actually makes my app to recompile (though it does not hot reloads).""",14,,,Confusion,Confusion,Confusion,Curiosity
897560867,"[USER] Thanks for the quick answers! It is good to have this cleared out of the way.
I do like your clarification on how this is a different dynamic as using Angular elements.
[BLOCK QUOTE].
This would be the same thing as it is for stand-alone(module-less) components, or am I looking from the wrong side? Those problems need to be solved anyway for truly dynamic components as far as I can see.","Thanks for the quick answers! It is good to have this cleared out of the way.
I do like your clarification on how this is a different dynamic as using Angular elements.",Thanks for the quick answers! It is good to have this cleared out of the way.,Thanks for the quick answers! It is good to have this cleared out of the way.,"""[USER] Thanks for the quick answers!""",32,,,Affection,Contentment,Approval,Joy.
899418860,"Thank you! Yes, it was a problem due to the `webpack-stream` plugin which depends on version 4 of the webpack. Unfortunately, this plugin does not support version 5 and now it is supported only in the [pull request]([URL] We are waiting for the merge))))","Unfortunately, this plugin does not support version 5",We are waiting for the merge,Thank you!,"""webpack-stream"" plugin not supporting version 5",286,,,Disappointment,Relief,Relief,Approval
899814627,"Hi [USER], thanks for working on the changes in this PR! I had a quick chat about this with [USER], and the problem with this fix is that changing DOM value happens asynchronously and that can lead to subtle issues as described in [this comment]([URL]) We think the best approach would be to update the DOM value once the rendering is complete. Currently there is no lifecycle hook that for that, and we'd need a project proposal to add one. If there is a decision to add such lifecycle hook, the fix in this PR can leverage that and we should be able to land the change. This is certainly a disappointing outcome, since this is a major performance issue and you put in a lot of effort on this. Sorry that it turned out to be blocked on a major addition like this :/","This is certainly a disappointing outcome, since this is a major performance issue and you put in a lot of effort on this. Sorry that it turned out to be blocked on a major addition like this :/",This is certainly a disappointing outcome since this is a major performance issue and you put in a lot of effort on this.,This is certainly a disappointing outcome.,The cause of the frustration is that the fix is not working as expected due to the lack of a lifecycle hook.,327,,,Disappointment,Disappointment,Sympathy,Frustration
902790283,Very good point.,Very good point.,Very good point.,the entire utterance.,"""Very good point.""",350,,,Approval,Contentment,Approval,Admiration
902995065,"I agree that I rarely need this feature, however when I use any of the 'tsconfig' packages, e.g. [URL] I often want to use both that and some base config that has my common rules in. Currently, the only way to use tsconfig packages is to maintain parity -- which is, to some extent just fine.",I agree that I rarely need this feature,when I use any of the 'tsconfig' packages,I agree that,"Curiosity caused by ""tsconfig"" packages, e.g. ""[URL]""",63,,,Approval,Agreement,Curiosity,Curiosity.
903122738,"But you can use `--profile` and avoid output stats, I don't understand what is the problem with `--stats verbose`",I don't understand what is the problem with,I don't understand what is the problem with `--stats verbose`.,I don't understand what is the problem with `--stats verbose`,"""But you can use --profile and avoid output stats, I don't understand what is the problem with --stats verbose.""",52,,,Disappointment,Confusion,Confusion,Curiosity
904507572,"Unfortunately no, you webpack v5 required...","Unfortunately no, you webpack v5 required...",Unfortunately no,"Unfortunately no,.","""Unfortunately no, you webpack v5 required....""",346,,,Disapproval,Disappointment,Disappointment,Frustration
910717385,My fault :confused:. What should be the name of the option for this case?,My fault :confused:,My fault :confused:,:confused:,"""My fault""",210,,,Confusion,Confusion,Embarrassment,Confusion
910832606,"Looks good to me.
Please move forward with the PRs to get your examples implemented.
Thank you",Looks good to me.,Looks good to me. Please move forward with the PRs to get your examples implemented.,Looks good to me. Please move forward with the PRs to get your examples implemented. Thank you.,"""Looks good to me""",198,,,Approval,Contentment,Approval,Approval
912968761,"When you create reproducible test repo please avoid using private package, unfortunately nobody can test it: [TRIPLE QUOTE].","please avoid using private package, unfortunately nobody can test it",avoid using private package,unfortunately nobody can test it,"""Using private package""",353,,,Disappointment,Annoyance,Disapproval,Frustration
916475242,Closing. This isn't feasible at this time.,This isn't feasible at this time.,This isn't feasible at this time.,Closing. This isn't feasible at this time.,"""closing""",59,,,Disappointment,Disappointment,Disappointment,Disapproval
917503891,"Sorry it took long to reply!
Unfortunately, that is not going to work in my setup: I am dynamically importing Preact during the runtime, that is `getPreact()` returns Preact's exports. `jsxImportSource` implies automatic import, which is not going to work. I can, of course, use it to silence TypeScript and continue using ESBuild, which will actually use `h` defined in the scope, but then TypeScript starts to complain about ‘unused’ `h` declaration, while also not saying anything if I don't declare the `h` (duh).
I'd actually expect TypeScript to *not expect* that `h` can only come from the imports, but rather do what ESBuild does — use `h` defined within the scope; like in my situation — it is defined at the top of the file. Thus I filed it as a bug report, because it's an absolutely valid use case.
Also, I just noticed that I accidentally deleted CodeSandbox example, I re-wrote it here (will update in the issue body): [URL]","Unfortunately, that is not going to work in my setup",I am dynamically importing Preact during the runtime,"Unfortunately, that is not going to work in my setup","""Unable to use h defined in the scope""",92,,,Disappointment,Annoyance,Curiosity,Frustration
919132145,"[BLOCK QUOTE].
An optional spread argument makes no sense and is invalid. But `fn(...args: any[])` actually is callable without arguments.
[URL]",makes no sense and is invalid.,An optional spread argument makes no sense and is invalid.,An optional spread argument makes no sense and is invalid.,"""[BLOCK QUOTE]. An optional spread argument makes no sense and is invalid. But fn(...args: any[]) actually is callable without arguments. [URL]""",13,,,Disapproval,Irritation,Disapproval,Frustration
920707569,You really want a default behavior like this? [TRIPLE QUOTE]. Result: [TRIPLE QUOTE]. I doubt anyone will miss that. I think people are more likely to get upset that it won't finally be changed. It's not only related to a `Map`. I would really just remove this sort. Keep it simple.,doubt anyone will miss that,You really want a default behavior like this?,I doubt anyone will miss that.,"""You really want a default behavior like this?""",387,,,Disapproval,Annoyance,Disapproval,Frustration
922159377,It happens to me too. :disappointed:,It happens to me too. :disappointed:,:disappointed:,:disappointed:,It happens to me too.,184,,,Disappointment,Disappointment,Disappointment,Disappoint
924140805,"[BLOCK QUOTE].
Just comment on the closed bug. We don’t unsubscribe from closed issues, and if there is a reason to reopen them or reengage with them, we do—as is happening here.
[BLOCK QUOTE].
I think you’re forgetting that you have ways of making plausibly correct subtypes of objects in JavaScript. It’s true that if you wind up with primitives you’re kind of stuck. [URL]
You can also do some arguably correct things with user-defined type guards, which are not checked for accuracy, but are not wrong and are less suspicious than casting to `any`. If you have some pattern of runtime reflection that TypeScript can’t analyze, but you’ve convinced yourself of its safety and its utility, I don’t think I’d call that “shenanigans” anyway; I’d call it a limitation of our compiler.
I guess we’ll have to agree to disagree about what type parameters are for. I won’t be monitoring this thread anymore as the discussion has been exhausted of anything useful to resolving the original issue.",".closed issues, making plausibly correct subtypes of objects, about what type of parameters are for.",I won’t be monitoring this thread anymore as the discussion has been exhausted of anything useful to resolving the original issue.,0,"""[BLOCK QUOTE]. Just comment on the closed bug. We don’t unsubscribe from closed issues, and if there is a reason to reopen them or reengage with them, we do—as is happening here.""",441,,,Disapproval,Indifference,Frustration,Frustration
925392557,Unfortunately the fix wasn't quite right and we decided to revert it and investigate more for next release—see #46009 and #46012,the fix wasn't quite right,Unfortunately the fix wasn't quite right and we decided to revert it,Unfortunately the fix wasn't quite right and we decided to revert it and investigate more for next release.,"""Unfortunately the fix wasn't quite right""",442,,,Disappointment,Disappointment,Disapproval,Frustration
932410737,"[BLOCK QUOTE]. Great. I'll wait for everything to go green, then merge and sync. I'm a bit scared of missing stuff in the Slack, so pls remove the merge label if that changes!",I'm a bit scared of missing stuff in the Slack,I'm a bit scared of missing stuff in the Slack,I'm a bit scared of missing stuff in the Slack,"""I'll wait for everything to go green, then merge and sync.""",9,,,Horror,Anxiety,Fear,Optimism
932418639,[USER] & my approval should be enough for this.,my approval should be enough for this,my approval should be enough for this.,[12 19],"""[USER] & my approval should be enough for this.""",23,,,Approval,Approval,Approval,Approval
932482827,"Good call, I assumed it would be an open-and-shut normative PR but it looks like it hasn't been updated for a while; let's hold off until [URL] is actually merged.",Good call,let's hold off until [URL] is actually merged.,Good call,"""Good call, I assumed it would be an open-and-shut normative PR but it looks like it hasn't been updated for a while; let's hold off until [URL] is actually merged.""",72,,,Approval,Approval,Curiosity,Optimism
933258523,"Also somewhat related: #41470.
---
I find the idea of ""local"" types declared within the implementation body to leak outside extremely unpleasant and disturbing. This would also require additional new syntax for declaration files, which was not considered at all in this issue. I hardly see any benefit and a lot of complexity.
And unfortunately the issue template for feature requests was not filled out.",.the issue template for feature requests was not filled out.,"I find the idea of local"" types declared within the implementation body to leak outside extremely unpleasant and disturbing.""","I find the idea of local"" types declared within the implementation body to leak outside extremely unpleasant and disturbing.""","""local"" types declared within the implementation body to leak outside extremely unpleasant and disturbing.",443,,,Disappointment,Disapproval,Disapproval,Frustration
936098797,"I don't see any problems with cast, it is not related",don't see any problems with cast,"I don't see any problems with cast, it is not related.",,"""I don't see any problems with cast, it is not related.""",109,,,Disapproval,0,Approval,Neutral
940421867,"Yeah what you're saying makes total sense, sorry I think I've just had tunnel vision on the lines section as that seemed the cleanest and more efficient place where to put this.
With the regexes done beforehand we will parse each file one extra time, which thinking of that, it's not even that bad as this is just done at build time so it's not like it needs to be ultra performant or anything (also regexes are should be quite optimized right?)
Anyways I would really not mind having a crack at this :slightly_smiling_face: , but you'd do a better and faster job with you mad regex skills :heart_eyes:, so I can do it or if you'd enjoy this task I am also totally fine with you handling it :slightly_smiling_face::+1:",Yeah what you're saying makes total sense,you mad regex skills :heart_eyes:,Anyways I would really not mind having a crack at this :slightly_smiling_face:,"""Yeah what you're saying makes total sense""",392,,,Approval,Optimism,Admiration,Joy.
944216399,"While I do agree with [USER] my argument why this shouldn't really be considered a bug would be on a much more fundamental level.
There is not much typescript can do about this without breaking it's [Non-Goal No 3]([URL]
[BLOCK QUOTE].
The only alternative would be treating properties that are known to be getters the same as function calls, which is not what you want in most cases, they are almost always supposed to be treated like regular properties. This kind of check is quite common check to prevent check if a value is not null so flagging it based on the signature alone would be annoying to most people that dont have such edge case uses as they'd have to do the non-null assertion even if it's not really needed.
So yes the only way you could detect it without troubling people when it mostly isn't necessary is by analyzing the flow in depth, which isn't worth it for such an edge case in my opinion but the issue above has more discussion on that.
On top of that a simple way to avoid this using modern ECMAScript features is `a.member?.do()`.",".this shouldn't really be, which isn't worth it",While I do agree with [USER],"which is not what you want in most cases, they are almost always supposed to be treated like regular properties.",The cause of the frustration is that the code is not being able to detect the bug without analyzing the flow in depth.,445,,,Disapproval,Aggravation,Agreement,Frustration
944607416,"Unfortunately there's disadvantages to this approach too -- Android/iOS tools no longer work because files appear to be missing, for example. Understanding what Android/iOS want from you is harder because the files aren't there so you can't just explore the files and find the comments we left explaining things. You could imagine a mode where you ask the files to appear, then edit them, then ask the unchanged files to be removed, but now there's extra steps, none of which are obvious to the developer, and it's easy to accidentally add or delete the wrong file (or make trivial changes that you don't need to save), etc.
I do wish something like this would exist, though.
cc [USER] [USER] [USER]",Unfortunately there's disadvantages to this approach too,"I do wish something like this would exist, though.",Unfortunately there's disadvantages to this approach too,"""Android/iOS tools no longer work""",347,,,Disappointment,Disappointment,Curiosity,Frustration
944899862,"Please vote for specific issues, or file new issues with specific details if you have issues that are not already filed.
Closing as this is not an actionable issue.",as this is not an actionable issue,Closing as this is not an actionable issue.,Closing as this is not an actionable issue.,"""Please vote for specific issues, or file new issues with specific details if you have issues that are not already filed. Closing as this is not an actionable issue.""",258,,,Disapproval,Annoyance,Disapproval,Frustration
946029784,[USER] [USER] I am not sure how to fix this since I cannot reproduce locally. Do either of you have ideas for a fix?,not sure how to fix this,Do either of you have ideas for a fix?,Do either of you have ideas for a fix?,"""I am not sure how to fix this since I cannot reproduce locally.""",22,,,Disappointment,Annoyance,Curiosity,Confused
947000738,"[BLOCK QUOTE].
This is very disappointing - this will require us to introduce a build step in our monorepo development environment",This is very disappointing - this will require us to introduce a build step,This is very disappointing,This is very disappointing,"The cause of frustration is ""this will require us to introduce a build step in our monorepo development environment"".",333,,,Disappointment,Disappointment,Disappoint,Frustration
947904739,"[BLOCK QUOTE].
Some PR has to be the first one to use it 😁
It's a bit ugly, as with all FFI, but it didn't seem terrible.",Some PR has to be the first one to use it 😁,Some PR has to be the first one to use it 😁,Some PR has to be the first one to use it 😁,"""[BLOCK QUOTE]. Some PR has to be the first one to use it  It's a bit ugly, as with all FFI, but it didn't seem terrible..""",19,,,Cheerfulness,Joy,Amusement,Optimism
948264963,I really don't see how this is any different than #467.,don't see how this is any different,I really don't see how this is any different than #467.,,I really don't see how this is any different than #467.,133,,,Disapproval,0,Confusion,Frustration
948437097,"[USER] The link you provided is not the issue, i fixed it by myself.
Firebase was the problem here. In older versions i had Application and FirebaseCloudMessagingPluginRegistrant.
I had to remove these files completely since they are no longer needed in new version.
[TRIPLE QUOTE].
[TRIPLE QUOTE].",Firebase was the problem here.,i fixed it by myself.,The link you provided is not the issue,"""[USER] The link you provided is not the issue, i fixed it by myself. Firebase was the problem here. In older versions i had Application and FirebaseCloudMessagingPluginRegistrant. I had to remove these files completely since they are no longer needed in new version. [TRIPLE QUOTE].""",447,,,Disapproval,Irritation,Relief,Frustration
948692661,"Without additional information, we are unfortunately not sure how to resolve this issue. We are therefore reluctantly going to close this bug for now. Please don't hesitate to comment on the bug if you have any more information for us; we will reopen it right away! Thanks for your contribution.
Could everyone who still has this problem please file a new issue with the exact description of what happens, logs, and the output of `flutter doctor -v`.
All system setups can be slightly different, so it's always better to open new issues and reference related issues.",we are unfortunately not sure how to resolve this issue,Thanks for your contribution.,We are therefore reluctantly going to close this bug for now.,Without additional information,362,,,Disappointment,Reluctance,Approval,Frustration
